sample_name	cage	collection_date	collection_timestamp	comments_2022_05_31	country	description	dna_extracted	elevation	empo_1	empo_2	empo_3	empo_4	env_biome	env_feature	env_material	env_package	geo_loc_name	host_autopsy	host_body_habitat	host_body_product	host_body_site	host_common_name	host_genotype	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_2022_05_11	host_weight_2022_05_11_units	host_weight_2022_05_18	host_weight_2022_05_18_units	host_weight_2022_05_24	host_weight_2022_05_24_units	host_weight_2022_05_31	host_weight_2022_05_31_units	host_weight_2022_06_01	host_weight_2022_06_01_units	host_weight_2022_06_02	host_weight_2022_06_02_units	host_weight_2022_06_07	host_weight_2022_06_07_units	host_weight_2022_06_14	host_weight_2022_06_14_units	host_weight_2022_06_21	host_weight_2022_06_21_units	host_weight_units	latitude	longitude	mouse_label	physical_specimen_location	physical_specimen_remaining	qiita_sample_type	sample_type	scientific_name	taxon_id	timestamp_flashtreatment	timestamp_treatment	timestamp_tumorinjection	treatment	tumor_cellline	tumor_volume_2022_05_26	tumor_volume_2022_05_26_units	tumor_volume_2022_05_31	tumor_volume_2022_05_31_units	tumor_volume_2022_06_02	tumor_volume_2022_06_02_units	tumor_volume_2022_06_07	tumor_volume_2022_06_07_units	tumor_volume_2022_06_09	tumor_volume_2022_06_09_units	tumor_volume_2022_06_13	tumor_volume_2022_06_13_units	tumor_volume_2022_06_15	tumor_volume_2022_06_15_units	tumor_volume_2022_06_17	tumor_volume_2022_06_17_units	tumor_volume_2022_06_20	tumor_volume_2022_06_20_units	tumor_volume_2022_06_24	tumor_volume_2022_06_24_units	zymo_custom_label
6.15299.zr5156.27V3V4	R1C6	2022	2022	booster_diet	Germany	FLASH vs conventional irradiation therapy	TRUE	134.5	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	feces	host-associated	Germany:Hesse:Darmstadt		UBERON:feces	UBERON:feces	UBERON:feces	mouse	C3H/He	Mus musculus	55	10090	16.5	16.5	grams	18.2	grams	20.2	grams	17.9	grams	19.8	grams	19.9	grams	22.5	grams	22.3	grams	23.8	grams	grams	8.677660635	49.93039264	1 Links 1 rechts	Germany	FALSE	feces	feces	mouse gut metagenome	410661	2022-05-26	2022-05-26	2022-05-19	FLASH C12	osteosarcoma cells LM8	153.86	cubic_millimeters	195.84	cubic_millimeters	204.65	cubic_millimeters	163.2	cubic_millimeters	125.6	cubic_millimeters	206.86	cubic_millimeters	160.41	cubic_millimeters	128.22	cubic_millimeters	91.58	cubic_millimeters	129.85	cubic_millimeters	29
6.15299.zr5156.28V3V4	R2C1	2022	2022		Germany	FLASH vs conventional irradiation therapy	TRUE	134.5	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	feces	host-associated	Germany:Hesse:Darmstadt	No Tumour in Tissue visible	UBERON:feces	UBERON:feces	UBERON:feces	mouse	C3H/He	Mus musculus	56	10090	18.6	18.6	grams	19.3	grams	19.7	grams	20.5	grams	not collected	grams	not collected	grams	21.5	grams	21.9	grams	22.2	grams	grams	8.677660635	49.93039264	avg	Germany	FALSE	feces	feces	mouse gut metagenome	410661	2022-05-26	2022-05-26	2022-05-19	Konventional C12	osteosarcoma cells LM8	65.42	cubic_millimeters	23.55	cubic_millimeters	30.38	cubic_millimeters	39.25	cubic_millimeters	65.42	cubic_millimeters	65.42	cubic_millimeters	112.26	cubic_millimeters	128.22	cubic_millimeters	113.04	cubic_millimeters	no visible tumour	cubic_millimeters	30
6.15299.zr5156.29V3V4	R2C1	2022	2022		Germany	FLASH vs conventional irradiation therapy	TRUE	134.5	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	feces	host-associated	Germany:Hesse:Darmstadt	Metastasis in Kidney	UBERON:feces	UBERON:feces	UBERON:feces	mouse	C3H/He	Mus musculus	57	10090	19.8	19.8	grams	20.5	grams	20.6	grams	19.1	grams	not collected	grams	not collected	grams	18.7	grams	22.6	grams	22.8	grams	grams	8.677660635	49.93039264	1 Links	Germany	FALSE	feces	feces	mouse gut metagenome	410661	2022-05-26	2022-05-26	2022-05-19	Konventional C12	osteosarcoma cells LM8	78.63	cubic_millimeters	171.15	cubic_millimeters	175.49	cubic_millimeters	194.52	cubic_millimeters	168.2	cubic_millimeters	272.01	cubic_millimeters	146.53	cubic_millimeters	234.45	cubic_millimeters	179.5	cubic_millimeters	149.67	cubic_millimeters	31
6.15299.zr5156.2V3V4	R1C1	2022	2022		Germany	FLASH vs conventional irradiation therapy	TRUE	134.5	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	feces	host-associated	Germany:Hesse:Darmstadt	-	UBERON:feces	UBERON:feces	UBERON:feces	mouse	C3H/He	Mus musculus	27	10090	19.4	19.4	grams	21.9	grams	21.9	grams	21.7	grams	not collected	grams	not collected	grams	22.2	grams	23.9	grams	24.6	grams	grams	8.677660635	49.93039264	1 Links	Germany	FALSE	feces	feces	mouse gut metagenome	410661	2022-05-26	2022-05-26	2022-05-19	Control no Tumor	osteosarcoma cells LM8	not applicable	cubic_millimeters	not applicable	cubic_millimeters	not applicable	cubic_millimeters	not applicable	cubic_millimeters	not applicable	cubic_millimeters	not applicable	cubic_millimeters	not applicable	cubic_millimeters	not applicable	cubic_millimeters	not applicable	cubic_millimeters	not applicable	cubic_millimeters	2
6.15299.zr5156.30V3V4	R2C1	2022	2022		Germany	FLASH vs conventional irradiation therapy	TRUE	134.5	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	feces	host-associated	Germany:Hesse:Darmstadt		UBERON:feces	UBERON:feces	UBERON:feces	mouse	C3H/He	Mus musculus	58	10090	18.4	18.4	grams	20	grams	20.3	grams	20	grams	not collected	grams	not collected	grams	22.1	grams	23.3	grams	23	grams	grams	8.677660635	49.93039264	1 Rechts	Germany	FALSE	feces	feces	mouse gut metagenome	410661	2022-05-26	2022-05-26	2022-05-19	Konventional C12	osteosarcoma cells LM8	143.34	cubic_millimeters	233.78	cubic_millimeters	153.88	cubic_millimeters	126.93	cubic_millimeters	170.75	cubic_millimeters	204.66	cubic_millimeters	194.99	cubic_millimeters	200.96	cubic_millimeters	109.9	cubic_millimeters	172.39	cubic_millimeters	32
6.15299.zr5156.31V3V4	R2C1	2022	2022		Germany	FLASH vs conventional irradiation therapy	TRUE	134.5	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	feces	host-associated	Germany:Hesse:Darmstadt	1 Metastasis in Liver	UBERON:feces	UBERON:feces	UBERON:feces	mouse	C3H/He	Mus musculus	59	10090	17.4	17.4	grams	20.2	grams	19.9	grams	19.1	grams	not collected	grams	not collected	grams	22.2	grams	21.6	grams	20.9	grams	grams	8.677660635	49.93039264	2 Links	Germany	FALSE	feces	feces	mouse gut metagenome	410661	2022-05-26	2022-05-26	2022-05-19	Konventional C12	osteosarcoma cells LM8	149.28	cubic_millimeters	149.18	cubic_millimeters	215.36	cubic_millimeters	141.3	cubic_millimeters	152.56	cubic_millimeters	228.69	cubic_millimeters	282.39	cubic_millimeters	263.76	cubic_millimeters	282.6	cubic_millimeters	131.88	cubic_millimeters	33
6.15299.zr5156.32V3V4	R2C1	2022	2022		Germany	FLASH vs conventional irradiation therapy	TRUE	134.5	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	feces	host-associated	Germany:Hesse:Darmstadt		UBERON:feces	UBERON:feces	UBERON:feces	mouse	C3H/He	Mus musculus	60	10090	17.7	17.7	grams	20.3	grams	21.1	grams	20.5	grams	not collected	grams	not collected	grams	22.8	grams	23.3	grams	23.5	grams	grams	8.677660635	49.93039264	1 Links 1 rechts	Germany	FALSE	feces	feces	mouse gut metagenome	410661	2022-05-26	2022-05-26	2022-05-19	Konventional C12	osteosarcoma cells LM8	154.74	cubic_millimeters	206.65	cubic_millimeters	211.92	cubic_millimeters	117.44	cubic_millimeters	126.07	cubic_millimeters	229	cubic_millimeters	231.31	cubic_millimeters	179.5	cubic_millimeters	200.96	cubic_millimeters	78.5	cubic_millimeters	34
6.15299.zr5156.33V3V4	R1C3	2022	2022	booster_diet	Germany	FLASH vs conventional irradiation therapy	TRUE	134.5	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	feces	host-associated	Germany:Hesse:Darmstadt	No metastasis	UBERON:feces	UBERON:feces	UBERON:feces	mouse	C3H/He	Mus musculus	61	10090	16.8	16.8	grams	18.3	grams	20.6	grams	21.1	grams	not collected	grams	not collected	grams	20.8	grams	21.4	grams	22.5	grams	grams	8.677660635	49.93039264	avg	Germany	FALSE	feces	feces	mouse gut metagenome	410661	2022-05-26	2022-05-26	2022-05-19	Control	osteosarcoma cells LM8	31.15	cubic_millimeters	45.51	cubic_millimeters	77.39	cubic_millimeters	135.65	cubic_millimeters	253.02	cubic_millimeters	78.5	cubic_millimeters	93.55	cubic_millimeters	65.42	cubic_millimeters	65.42	cubic_millimeters	571.24	cubic_millimeters	35
6.15299.zr5156.34V3V4	R2C2	2022	2022		Germany	FLASH vs conventional irradiation therapy	TRUE	134.5	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	feces	host-associated	Germany:Hesse:Darmstadt		UBERON:feces	UBERON:feces	UBERON:feces	mouse	C3H/He	Mus musculus	62	10090	18.8	18.8	grams	20.8	grams	20.3	grams	19.2	grams	not collected	grams	not collected	grams	22.2	grams	23.4	grams	23.5	grams	grams	8.677660635	49.93039264	1 Links	Germany	FALSE	feces	feces	mouse gut metagenome	410661	2022-05-26	2022-05-26	2022-05-19	Konventional C12	osteosarcoma cells LM8	138.55	cubic_millimeters	136.17	cubic_millimeters	271.24	cubic_millimeters	151.85	cubic_millimeters	120.42	cubic_millimeters	188.38	cubic_millimeters	190.76	cubic_millimeters	131.88	cubic_millimeters	131.88	cubic_millimeters	176.87	cubic_millimeters	36
6.15299.zr5156.35V3V4	R2C2	2022	2022		Germany	FLASH vs conventional irradiation therapy	TRUE	134.5	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	feces	host-associated	Germany:Hesse:Darmstadt		UBERON:feces	UBERON:feces	UBERON:feces	mouse	C3H/He	Mus musculus	63	10090	16	16	grams	19.9	grams	20	grams	19.4	grams	not collected	grams	not collected	grams	20	grams	22	grams	22.9	grams	grams	8.677660635	49.93039264	1 Rechts	Germany	FALSE	feces	feces	mouse gut metagenome	410661	2022-05-26	2022-05-26	2022-05-19	Konventional C12	osteosarcoma cells LM8	103.62	cubic_millimeters	178.72	cubic_millimeters	178.59	cubic_millimeters	230.7	cubic_millimeters	217.08	cubic_millimeters	187.27	cubic_millimeters	297.67	cubic_millimeters	251.2	cubic_millimeters	251.2	cubic_millimeters	402.97	cubic_millimeters	37
